site,dec_tag,detected,reader,antenna
Upper Avochie,989.001039944189,15/04/2023,1,1
Lower Avochie,989.001039942170,15/04/2023,1,8
Upper Avochie,989.001039942170,15/04/2023,1,4
Lower Avochie,989.001039944644,15/04/2023,1,8
Upper Avochie,989.001039943919,15/04/2023,1,3
Upper Avochie,989.001039944786,15/04/2023,1,4
Lower Avochie,989.001039944226,15/04/2023,1,7
Upper Avochie,989.001039944226,15/04/2023,1,4
Lower Avochie,989.001039944117,15/04/2023,1,6
Lower Avochie,989.001039943930,15/04/2023,1,6
Upper Avochie,989.001039944845,15/04/2023,1,5
Lower Avochie,989.001039945096,15/04/2023,1,7
Upper Avochie,989.001039941022,15/04/2023,1,3
Upper Avochie,989.001039944832,15/04/2023,1,2
Upper Avochie,989.001039944233,15/04/2023,1,3
Lower Avochie,989.001039944551,15/04/2023,1,7
Upper Avochie,989.001039943561,15/04/2023,1,4
Upper Avochie,989.001039942225,15/04/2023,1,3
Upper Avochie,989.001039942225,15/04/2023,1,4
Upper Avochie,989.001039943645,15/04/2023,1,3
Upper Avochie,989.001039944630,15/04/2023,1,3
Upper Avochie,989.001039944348,15/04/2023,1,4
Lower Avochie,989.001039944333,15/04/2023,1,6
Upper Avochie,989.001039944532,14/04/2023,1,3
Upper Avochie,989.001039944892,14/04/2023,1,4
Upper Avochie,989.001039944759,14/04/2023,1,4
Lower Avochie,989.001039944102,14/04/2023,1,7
Upper Avochie,989.001039944102,14/04/2023,1,2
Upper Avochie,989.001039942203,14/04/2023,1,4
Lower Avochie,989.001039945210,14/04/2023,1,7
Upper Avochie,989.001039944617,14/04/2023,1,3
Upper Avochie,989.001039944578,14/04/2023,1,3
Lower Avochie,989.001039945119,14/04/2023,1,7
Upper Avochie,989.001039945119,14/04/2023,1,2
Upper Avochie,989.001039945119,14/04/2023,1,3
Upper Avochie,989.001039943758,14/04/2023,1,4
Upper Avochie,989.001039943933,14/04/2023,1,4
Upper Avochie,989.001039943644,14/04/2023,1,5
Upper Avochie,989.001039944206,14/04/2023,1,3
Upper Avochie,989.001039943888,14/04/2023,1,4
Upper Avochie,989.001039944121,14/04/2023,1,3
Lower Avochie,989.001039944726,14/04/2023,1,7
Lower Avochie,989.001039943954,14/04/2023,1,6
Upper Avochie,989.001039944726,14/04/2023,1,5
Upper Avochie,989.001039945325,14/04/2023,1,2
Upper Avochie,989.001039943548,14/04/2023,1,5
Upper Avochie,989.001039944824,14/04/2023,1,4
Upper Avochie,989.001039945207,14/04/2023,1,3
Upper Avochie,989.001039944475,14/04/2023,1,4
Lower Avochie,989.001039944620,14/04/2023,1,7
Lower Avochie,989.001039944335,14/04/2023,1,8
Upper Avochie,989.001039944021,14/04/2023,1,5
Upper Avochie,989.001039942253,14/04/2023,1,4
