site,dec_tag,detected,reader,antenna
XAD,989.001039943562,25/04/2023 23:38,1,4
XAD,989.001039943562,25/04/2023 23:38,1,4
XAD,989.001039944674,25/04/2023 23:10,1,4
XAD,989.001039944674,25/04/2023 23:10,1,4
XAD,989.001039945126,25/04/2023 03:10,1,4
XAD,989.001039943659,25/04/2023 02:25,1,4
XAD,989.001039943904,25/04/2023 02:04,1,2
XAD,989.001039941057,25/04/2023 01:38,1,4
XAD,989.001039943515,25/04/2023 01:34,1,4
XAD,989.001039944906,25/04/2023 01:08,1,4
XAD,989.001039944265,25/04/2023 00:46,1,7
XAD,989.001039944265,25/04/2023 00:46,1,4
XAD,989.001039945318,25/04/2023 00:45,1,5
XAD,989.001039943983,25/04/2023 00:42,1,4
XAD,989.001039944351,25/04/2023 00:40,1,4
XAD,989.001039944647,25/04/2023 00:31,1,5
XAD,989.001039941008,25/04/2023 00:26,1,3
XAD,989.001039944327,25/04/2023 00:11,1,3
XAD,989.001039943617,24/04/2023 23:41,1,3
XAD,989.001039944916,24/04/2023 23:26,1,8
XAD,989.001039944916,24/04/2023 23:25,1,4
XAD,989.001039943409,24/04/2023 23:11,1,4
XAD,989.001039944344,24/04/2023 23:10,1,2
XAD,989.001039945225,24/04/2023 23:03,1,8
XAD,989.001039945225,24/04/2023 23:02,1,3
XAD,989.001039945225,24/04/2023 23:02,1,4
XAD,989.001039945334,24/04/2023 22:47,1,4
XAD,989.001039945231,24/04/2023 22:41,1,4
XAD,989.001039943495,24/04/2023 22:31,1,5
XAD,989.001039943873,24/04/2023 22:03,1,4
XAD,989.001039944537,24/04/2023 01:35,1,5
XAD,989.001039944537,24/04/2023 00:53,1,5
XAD,989.001039943494,24/04/2023 00:42,1,6
XAD,989.001039943494,24/04/2023 00:41,1,3
XAD,989.001039945326,23/04/2023 04:52,1,5
XAD,989.001039945326,23/04/2023 04:51,1,5
XAD,989.001039945326,23/04/2023 04:50,1,5
XAD,989.001039945326,23/04/2023 04:49,1,5
XAD,989.001039945326,23/04/2023 04:48,1,5
XAD,989.001039945326,23/04/2023 04:47,1,5
XAD,989.001039945326,23/04/2023 04:46,1,5
XAD,989.001039945326,23/04/2023 04:45,1,5
XAD,989.001039945326,23/04/2023 04:44,1,5
XAD,989.001039945326,23/04/2023 04:43,1,5
XAD,989.001039945326,23/04/2023 04:42,1,5
XAD,989.001039943890,23/04/2023 00:20,1,4
XAD,989.001039945326,22/04/2023 19:04,1,4
XAD,989.001039945326,22/04/2023 19:02,1,4
XAD,989.001039945326,22/04/2023 19:01,1,4
XAD,989.001039945326,22/04/2023 19:00,1,4
XAD,989.001039945326,22/04/2023 18:59,1,4
XAD,989.001039945326,22/04/2023 18:58,1,4
XAD,989.001039945326,22/04/2023 18:56,1,5
XAD,989.001039945326,22/04/2023 18:52,1,5
XAD,989.001039945326,22/04/2023 18:46,1,4
XAD,989.001039945326,22/04/2023 18:45,1,4
XAD,989.001039945326,22/04/2023 18:44,1,4
XAD,989.001039945326,22/04/2023 18:37,1,4
XAD,989.001039945326,22/04/2023 18:36,1,4
XAD,989.001039945326,22/04/2023 18:35,1,4
XAD,989.001039945326,22/04/2023 18:34,1,4
XAD,989.001039945326,22/04/2023 18:33,1,4
XAD,989.001039945326,22/04/2023 18:32,1,4
XAD,989.001039945326,22/04/2023 18:31,1,4
XAD,989.001039945326,22/04/2023 04:53,1,5
XAD,989.001039943719,22/04/2023 01:17,1,7
XAD,989.001039943719,22/04/2023 00:54,1,4
XAD,989.001039944591,22/04/2023 00:19,1,8
XAD,989.001039944591,22/04/2023 00:17,1,4
XAD,989.001039943715,21/04/2023 23:42,1,3
XAD,989.001039944309,21/04/2023 22:48,1,5
XAD,989.001039944804,21/04/2023 22:47,1,7
XAD,989.001039944562,21/04/2023 22:13,1,2
XAD,989.001039945326,21/04/2023 18:34,1,5
XAD,989.001039945326,21/04/2023 18:33,1,5
XAD,989.001039945326,21/04/2023 18:00,1,5
XAD,989.001039945326,21/04/2023 17:49,1,5
XAD,989.001039945326,21/04/2023 17:48,1,5
XAD,989.001039945326,21/04/2023 04:35,1,5
XAD,989.001039944638,21/04/2023 02:23,1,8
XAD,989.001039944324,21/04/2023 00:43,1,3
XAD,989.001039944510,21/04/2023 00:23,1,7
